annee,genre,popularite
1990,Soul,3.6
1991,Soul,3.1
1992,Soul,3.0
1993,Soul,3.2
1994,Soul,3.5
1995,Soul,1.4
1996,Soul,1.2
1997,Soul,2.2
1998,Soul,2.1
1999,Soul,0.4
2000,Soul,0.1
2001,Soul,1.8
2002,Soul,0.6
2003,Soul,1.2
2004,Soul,1.6
2005,Soul,0.2
2006,Soul,0.8
2007,Soul,0.8
2008,Soul,0.5
2009,Soul,0.4
2016,Soul,0.4
1959,R&B,0.5
1962,R&B,0.2
1963,R&B,0.1
1964,R&B,0.2
1965,R&B,0.1
1966,R&B,0.1
1967,R&B,0.3
1968,R&B,0.2
1969,R&B,0.1
1970,R&B,0.6
1971,R&B,2.1
1972,R&B,0.4
1975,R&B,0.2
1976,R&B,0.2
1979,R&B,0.4
1982,R&B,0.3
1983,R&B,1.3
1984,R&B,1.4
1985,R&B,3.4
1986,R&B,6.5
1987,R&B,5.1
1988,R&B,7.4
1989,R&B,9.1
1990,R&B,12.8
1991,R&B,16.1
1992,R&B,22.7
1993,R&B,24.3
1994,R&B,23.7
1995,R&B,30.2
1996,R&B,28.2
1997,R&B,31.9
1998,R&B,28.2
1999,R&B,24.4
2000,R&B,22.2
2001,R&B,23.8
2002,R&B,23.3
2003,R&B,19.3
2004,R&B,13.3
2005,R&B,15.2
2006,R&B,12.4
2007,R&B,13.0
2008,R&B,12.6
2009,R&B,11.9
2010,R&B,10.0
2011,R&B,6.1
2012,R&B,5.8
2013,R&B,4.5
2014,R&B,4.3
2015,R&B,6.4
2016,R&B,4.3
1958,Rock & Roll,26.0
1959,Rock & Roll,25.6
1960,Rock & Roll,31.2
1961,Rock & Roll,29.1
1962,Rock & Roll,31.1
1963,Rock & Roll,31.4
1964,Rock & Roll,22.4
1965,Rock & Roll,15.9
1966,Rock & Roll,14.2
1967,Rock & Roll,7.6
1968,Rock & Roll,5.8
1969,Rock & Roll,7.9
1970,Rock & Roll,4.1
1971,Rock & Roll,2.8
1972,Rock & Roll,2.9
1973,Rock & Roll,2.2
1974,Rock & Roll,2.6
1975,Rock & Roll,3.8
1976,Rock & Roll,3.9
1977,Rock & Roll,1.9
1978,Rock & Roll,0.8
1979,Rock & Roll,1.1
1980,Rock & Roll,1.8
1981,Rock & Roll,2.2
1982,Rock & Roll,1.6
1983,Rock & Roll,1.1
1984,Rock & Roll,0.5
1985,Rock & Roll,0.3
1986,Rock & Roll,0.5
1988,Rock & Roll,0.3
1989,Rock & Roll,0.7
1990,Rock & Roll,0.6
1991,Rock & Roll,0.3
1993,Rock & Roll,0.1
1994,Rock & Roll,0.6
1995,Rock & Roll,0.1
1998,Rock & Roll,0.1
2003,Rock & Roll,0.0
2014,Rock & Roll,0.0
2015,Rock & Roll,0.0
2016,Rock & Roll,0.1
1958,Rock,4.1
1959,Rock,3.3
1960,Rock,1.4
1961,Rock,3.0
1962,Rock,3.1
1963,Rock,5.6
1964,Rock,20.3
1965,Rock,29.3
1966,Rock,33.1
1967,Rock,33.0
1968,Rock,29.0
1969,Rock,29.1
1970,Rock,30.3
1971,Rock,28.4
1972,Rock,32.8
1973,Rock,30.5
1974,Rock,27.1
1975,Rock,31.0
1976,Rock,37.3
1977,Rock,41.3
1978,Rock,49.8
1979,Rock,46.7
1980,Rock,49.1
1981,Rock,49.6
1982,Rock,57.9
1983,Rock,60.9
1984,Rock,56.6
1985,Rock,59.5
1986,Rock,57.8
1987,Rock,53.8
1988,Rock,46.2
1989,Rock,45.9
1990,Rock,38.7
1991,Rock,31.7
1992,Rock,24.7
1993,Rock,22.1
